1,Louis Luncheonette,,
2,Trillium Carnage,,
3,Outs,,
4,Squeezy Lemon,,
5,Turbo Fluo,,
6,Sugar Mommies,,
7,UltiBattleDisc l'équipe d'Ultimate Récréatif ,,
8,Qg,,
9,Rebellion,,
10,9h50,,
11,KGB,,
12,Piggy Pogo Hippo,,
13,Vallée des Licornes,,
14,Douze Singes,,
15,Chainsaw,,
16,Disklock,,
17,James Street Bulldogs,,
18,Grosses,,
19,Light Weight,,
20,Quality Control,,
21,Evolve,,
22,Connect4,,
23,VTM,,
24,Commando,,
25,Plan B,,
26,L'équipe Pick-Up,,"esprit sportif"
27,Quarks,,
28,Hurakan,,
29,Carl Carmoni,,
30,Bolt,,
31,Vieux jeux,,
32,Weedeaters,,
33,hamer time,,
34,4-Da-Win,,
35,Bazooka,,
36,Marianne,,
37,Lebœuf Saloon,,
38,Frisbeenomiale,,
39,Pirhanas,,
40,Patriotes,,
41,Pisse-Minute,,
42,Arm & Hammer,,
43,Sony Discmans,,
44,Jackalopes,,
45,Thunderstruck,,
46,Bangarang,,
47,Mohicans,,
48,Martine joue au frisbee,,
49,Swaggerwalk,,
50,DiskTrackFUL,,
51,Squall,,
52,Bleu Marin,,
53,Battleship,,
54,Apocalypse,,
55,Tourista,,
56,Quidam,,
